"State, Teritory or Tribal Nation",Total (Billions)
ALABAMA,3.0000 
ALASKA,3.7000 
AMERICAN SAMOA,0.0686 
ARIZONA,3.5000 
ARKANSAS,2.8000 
CALIFORNIA,18.4000 
COLORADO,3.2000 
CONNECTICUT,2.5000 
DELEWARE,0.7920 
DISTRICT OF COLUMBIA,1.1000 
FLORIDA,8.2000 
GEORGIA,5.0000 
GUAM,0.1426 
HAWAII,1.0000 
IDAHO,1.2000 
ILLINOIS,8.4000 
INDIANA,3.4000 
IOWA,2.4000 
KANSAS,1.5000 
KENTUCKY,3.9000 
LOUISIANA,4.3000 
MAINE,1.1000 
MARYLAND,2.7000 
MASSACHUSETTS,3.6000 
MICHIGAN,5.2000 
MINNESOTA,2.7000 
MISSISSIPPI,2.3000 
MISSOURI,3.8000 
MONTANA,3.3000 
NEBRASKA,1.3000 
NEVADA,1.7000 
NEW HAMPSHIRE,0.7518 
NEW JERSEY,5.1000 
NEW MEXICO,2.6000 
NEW YORK,10.1000 
NORTH CAROLINA,4.5000 
NORTH DAKOTA,1.8000 
NORTHERN MARIANA ISLANDS,0.0833 
OHIO,6.6000 
OKLAHOMA,2.9000 
OREGON,2.3000 
PENNSYLVANIA,8.1000 
PUERTO RICO,0.9937 
RHODE ISLAND,1.1000 
SOUTH CAROLINA,2.3000 
SOUTH DAKOTA,1.3000 
TENNESSEE,3.7000 
TEXAS,14.2000 
TRIBAL COMMUNITIES,3.0000 
US VIRGIN ISLANDS,0.1483 
UTAH,1.8000 
VERMONT,0.8521 
VIRGINIA,4.5000 
WASHINGTON,4.0000 
WEST VIRGINIA,2.0000 
WISCONSIN,2.8000 
WYOMING,2.3000 
